,16AP-420-1-3,16AP-420-1-3,11S-420-1-2,11S-420-1-2,11S-420-1-1,11S-420-1-1,16AP-420-2-1,16AP-420-2-1,16AP-420-2-6,16AP-420-2-6,11S-420-2-2,11S-420-2-2,11S-420-2-3,11S-420-2-3,18AP-420-2-8,18AP-420-2-8,16AP-420-2-7,16AP-420-2-7,16K-420-2-5,16K-420-2-5,11S-420-2-4,11S-420-2-4,16AP-420-3-6,16AP-420-3-6,11S-420-3-3,11S-420-3-3,11S-420-3-2,11S-420-3-2,16K-420-3-5,16K-420-3-5,16AP-420-3-4,16AP-420-3-4,16AP-420-3-1,16AP-420-3-1
,Weekday,Weekend,Weekday,Weekend,Weekday,Weekend,Weekday,Weekend,Weekday,Weekend,Weekday,Weekend,Weekday,Weekend,Weekday,Weekend,Weekday,Weekend,Weekday,Weekend,Weekday,Weekend,Weekday,Weekend,Weekday,Weekend,Weekday,Weekend,Weekday,Weekend,Weekday,Weekend,Weekday,Weekend
0,7.2368421052631575,5.709677419354839,2.0,1.903225806451613,0.5,0.45161290322580644,5.4605263157894735,4.709677419354839,29.480263157894736,19.983870967741936,5.348684210526316,4.661290322580645,6.506578947368421,5.838709677419355,34.82236842105263,29.870967741935484,38.61842105263158,33.04838709677419,12.105263157894736,11.338709677419354,2.7302631578947367,1.9516129032258065,6.519736842105263,4.306451612903226,2.835526315789474,2.5161290322580645,3.4934210526315788,2.870967741935484,14.06578947368421,10.290322580645162,13.513157894736842,9.370967741935484,11.776315789473685,9.274193548387096
1,3.736842105263158,3.032258064516129,1.131578947368421,0.8064516129032258,0.4276315789473684,0.24193548387096775,4.098684210526316,3.338709677419355,19.79605263157895,12.935483870967742,3.6447368421052633,2.9516129032258065,5.559210526315789,4.919354838709677,30.105263157894736,24.14516129032258,31.236842105263158,27.419354838709676,9.927631578947368,9.064516129032258,1.769736842105263,1.2580645161290323,5.434210526315789,3.564516129032258,2.5657894736842106,1.5483870967741935,2.460526315789474,2.1129032258064515,10.789473684210526,7.419354838709677,11.019736842105264,7.419354838709677,10.552631578947368,7.290322580645161
2,2.5526315789473686,2.1129032258064515,0.8092105263157895,0.6612903225806451,0.2565789473684211,0.24193548387096775,3.0723684210526314,2.4838709677419355,15.592105263157896,10.612903225806452,2.8684210526315788,2.3870967741935485,3.664473684210526,3.1774193548387095,20.04605263157895,16.967741935483872,21.38157894736842,17.483870967741936,8.914473684210526,8.258064516129032,1.2894736842105263,0.967741935483871,4.125,2.4193548387096775,1.8421052631578947,0.967741935483871,2.3157894736842106,1.7741935483870968,8.585526315789474,5.5,8.006578947368421,5.096774193548387,7.75,5.080645161290323
3,1.881578947368421,1.6451612903225807,0.6447368421052632,0.5161290322580645,0.2236842105263158,0.1935483870967742,2.1578947368421053,1.7096774193548387,12.078947368421053,7.741935483870968,2.664473684210526,2.1129032258064515,2.736842105263158,2.5,14.342105263157896,11.82258064516129,15.085526315789474,11.338709677419354,8.19078947368421,7.774193548387097,1.125,0.7580645161290323,3.2171052631578947,1.8064516129032258,1.1842105263157894,0.7903225806451613,1.980263157894737,1.6774193548387097,6.328947368421052,4.193548387096774,6.059210526315789,3.370967741935484,5.855263157894737,3.370967741935484
4,1.3486842105263157,1.0483870967741935,0.42105263157894735,0.3387096774193548,0.19078947368421054,0.08064516129032258,1.5855263157894737,1.2419354838709677,9.598684210526315,5.532258064516129,2.526315789473684,1.9193548387096775,2.125,1.903225806451613,10.546052631578947,7.645161290322581,10.730263157894736,8.03225806451613,7.9605263157894735,7.290322580645161,0.9407894736842105,0.5483870967741935,2.4210526315789473,1.1451612903225807,0.9342105263157895,0.5,1.9013157894736843,1.564516129032258,4.815789473684211,2.5161290322580645,4.131578947368421,1.8870967741935485,4.026315789473684,2.096774193548387
5,1.1973684210526316,1.0,0.34868421052631576,0.3064516129032258,0.1118421052631579,0.03225806451612903,1.4539473684210527,0.9354838709677419,8.743421052631579,4.82258064516129,2.361842105263158,1.8709677419354838,1.644736842105263,1.467741935483871,8.578947368421053,5.967741935483871,8.802631578947368,6.016129032258065,8.0,7.306451612903226,0.8223684210526315,0.3387096774193548,1.9736842105263157,0.9032258064516129,0.75,0.27419354838709675,1.9276315789473684,1.596774193548387,4.328947368421052,2.0161290322580645,3.4802631578947367,1.4516129032258065,3.3289473684210527,1.403225806451613
6,1.230263157894737,0.967741935483871,0.42105263157894735,0.27419354838709675,0.16447368421052633,0.016129032258064516,1.3355263157894737,0.9193548387096774,8.289473684210526,3.5,2.2302631578947367,1.7419354838709677,1.381578947368421,0.7741935483870968,6.980263157894737,4.596774193548387,7.651315789473684,4.903225806451613,7.782894736842105,7.17741935483871,0.7960526315789473,0.3225806451612903,1.855263157894737,0.5967741935483871,0.6776315789473685,0.24193548387096775,1.8486842105263157,1.5483870967741935,4.1381578947368425,1.6935483870967742,3.335526315789474,1.2580645161290323,3.2697368421052633,1.1612903225806452
7,1.375,0.9193548387096774,0.5394736842105263,0.2903225806451613,0.16447368421052633,0.06451612903225806,1.381578947368421,0.8387096774193549,8.381578947368421,3.4193548387096775,2.348684210526316,1.6451612903225807,1.269736842105263,0.6129032258064516,6.9605263157894735,3.370967741935484,7.802631578947368,4.080645161290323,7.8355263157894735,7.0,1.0460526315789473,0.5967741935483871,2.25,0.5967741935483871,0.8421052631578947,0.3064516129032258,2.0657894736842106,1.532258064516129,4.605263157894737,1.7580645161290323,3.486842105263158,1.1451612903225807,3.1447368421052633,0.9193548387096774
8,2.289473684210526,1.2096774193548387,1.019736842105263,0.5645161290322581,0.23026315789473684,0.03225806451612903,2.513157894736842,1.6290322580645162,13.638157894736842,4.967741935483871,3.026315789473684,1.9838709677419355,1.7828947368421053,0.7741935483870968,9.032894736842104,3.5161290322580645,10.118421052631579,4.387096774193548,9.019736842105264,7.370967741935484,2.0328947368421053,1.1290322580645162,4.802631578947368,1.903225806451613,1.769736842105263,0.7258064516129032,3.401315789473684,1.935483870967742,9.625,2.9516129032258065,5.644736842105263,1.5806451612903225,5.7631578947368425,1.4838709677419355
9,4.868421052631579,2.2580645161290325,2.1842105263157894,1.0483870967741935,0.875,0.20967741935483872,4.776315789473684,3.0161290322580645,24.19078947368421,9.870967741935484,4.940789473684211,3.0483870967741935,2.8947368421052633,1.2903225806451613,13.31578947368421,6.338709677419355,16.68421052631579,7.661290322580645,10.348684210526315,8.548387096774194,4.157894736842105,1.935483870967742,9.697368421052632,4.032258064516129,3.875,1.6774193548387097,5.328947368421052,3.1451612903225805,18.56578947368421,7.387096774193548,10.763157894736842,4.080645161290323,11.177631578947368,4.096774193548387
10,5.447368421052632,2.935483870967742,2.3552631578947367,1.2741935483870968,2.789473684210526,0.8064516129032258,5.7631578947368425,3.7903225806451615,37.328947368421055,16.93548387096774,5.815789473684211,3.564516129032258,4.5855263157894735,2.7903225806451615,18.86842105263158,10.258064516129032,25.638157894736842,13.741935483870968,10.875,9.209677419354838,5.572368421052632,3.2903225806451615,15.506578947368421,8.064516129032258,5.796052631578948,3.1451612903225805,6.743421052631579,4.209677419354839,28.57236842105263,13.838709677419354,18.57236842105263,9.435483870967742,18.55921052631579,9.112903225806452
11,6.572368421052632,3.3548387096774195,2.5657894736842106,1.596774193548387,4.098684210526316,1.3548387096774193,6.184210526315789,3.9193548387096775,43.75657894736842,25.016129032258064,5.717105263157895,3.7903225806451615,5.315789473684211,3.5483870967741935,21.92763157894737,14.225806451612904,30.414473684210527,20.612903225806452,10.394736842105264,9.161290322580646,5.894736842105263,3.8870967741935485,19.473684210526315,11.629032258064516,6.921052631578948,4.370967741935484,6.730263157894737,5.032258064516129,35.4671052631579,19.322580645161292,24.907894736842106,14.290322580645162,25.05263157894737,13.903225806451612
12,9.046052631578947,4.919354838709677,3.5197368421052633,2.2096774193548385,4.848684210526316,1.7096774193548387,6.901315789473684,4.419354838709677,44.5921052631579,29.096774193548388,6.309210526315789,4.548387096774194,5.9605263157894735,4.016129032258065,23.467105263157894,16.483870967741936,32.49342105263158,23.532258064516128,10.901315789473685,9.306451612903226,5.921052631578948,4.467741935483871,21.157894736842106,14.241935483870968,7.6118421052631575,4.919354838709677,7.131578947368421,5.516129032258065,37.88815789473684,24.080645161290324,27.914473684210527,17.306451612903224,28.36842105263158,17.79032258064516
13,9.763157894736842,6.032258064516129,4.026315789473684,2.5483870967741935,5.940789473684211,1.6290322580645162,7.197368421052632,4.790322580645161,43.43421052631579,30.048387096774192,6.394736842105263,4.82258064516129,6.171052631578948,3.903225806451613,23.388157894736842,17.5,33.5,23.258064516129032,11.611842105263158,9.629032258064516,5.993421052631579,4.693548387096774,22.651315789473685,13.612903225806452,8.052631578947368,5.387096774193548,8.111842105263158,6.048387096774194,42.598684210526315,26.93548387096774,30.05921052631579,18.741935483870968,30.592105263157894,19.29032258064516
14,9.473684210526315,5.790322580645161,3.5460526315789473,2.370967741935484,6.5394736842105265,0.7258064516129032,7.493421052631579,5.725806451612903,52.1578947368421,41.67741935483871,6.723684210526316,5.806451612903226,6.7105263157894735,5.032258064516129,27.157894736842106,23.403225806451612,39.36184210526316,31.967741935483872,10.953947368421053,10.129032258064516,6.815789473684211,5.741935483870968,25.348684210526315,19.741935483870968,9.230263157894736,7.032258064516129,8.276315789473685,6.580645161290323,46.328947368421055,36.32258064516129,33.848684210526315,27.838709677419356,34.9671052631579,26.774193548387096
15,9.111842105263158,5.951612903225806,3.460526315789474,2.3225806451612905,6.75,0.5,7.881578947368421,5.919354838709677,58.61184210526316,48.96774193548387,6.309210526315789,5.516129032258065,7.618421052631579,6.225806451612903,30.50657894736842,26.725806451612904,44.2828947368421,38.70967741935484,10.782894736842104,10.03225806451613,7.151315789473684,6.129032258064516,28.375,24.79032258064516,10.092105263157896,8.709677419354838,7.7368421052631575,7.112903225806452,50.24342105263158,42.83870967741935,38.0328947368421,33.354838709677416,39.48684210526316,32.87096774193548
